R,G,B,RÓTULO,GRUPO
114,26,61,harmonico,1
107,19,65,harmonico,1
129,6,62,harmonico,1
67,165,52,harmonico,2
66,164,55,harmonico,2
65,177,68,harmonico,2
143,101,104,harmonico,3
140,95,109,harmonico,3
129,113,84,harmonico,3
153,103,224,harmonico,4
151,100,228,harmonico,4
158,101,238,harmonico,4
58,62,145,harmonico,5
57,63,154,harmonico,5
64,48,134,harmonico,5
166,155,229,harmonico,6
164,155,236,harmonico,6
182,159,225,harmonico,6
195,174,138,harmonico,7
185,174,142,harmonico,7
181,173,150,harmonico,7
249,5,119,harmonico,8
239,8,110,harmonico,8
236,15,125,harmonico,8
193,180,22,harmonico,9
194,179,28,harmonico,9
178,171,31,harmonico,9
48,155,170,harmonico,10
51,153,172,harmonico,10
50,137,162,harmonico,10
7,107,166,harmonico,11
6,108,167,harmonico,11
18,90,149,harmonico,11
201,0,46,harmonico,12
203,2,47,harmonico,12
187,-7,56,harmonico,12
37,147,46,harmonico,13
31,142,42,harmonico,13
38,150,55,harmonico,13
44,203,193,harmonico,14
54,197,188,harmonico,14
31,222,207,harmonico,14
131,187,99,harmonico,15
127,181,104,harmonico,15
125,173,99,harmonico,15
193,197,152,harmonico,16
184,203,152,harmonico,16
174,183,154,harmonico,16
177,44,251,harmonico,17
183,51,255,harmonico,17
188,58,240,harmonico,17
157,114,197,harmonico,18
158,117,189,harmonico,18
140,108,186,harmonico,18
8,135,112,harmonico,19
17,139,102,harmonico,19
-6,154,129,harmonico,19
99,133,166,harmonico,20
97,127,176,harmonico,20
112,133,175,harmonico,20
131,178,43,harmonico,21
140,181,35,harmonico,21
112,190,39,harmonico,21
254,87,47,harmonico,22
245,86,44,harmonico,22
255,74,58,harmonico,22
81,243,46,harmonico,23
79,242,56,harmonico,23
79,251,66,harmonico,23
94,188,38,harmonico,24
86,184,39,harmonico,24
112,190,21,harmonico,24
110,82,40,harmonico,25
108,77,39,harmonico,25
105,88,38,harmonico,25
42,43,48,harmonico,26
32,37,39,harmonico,26
25,36,33,harmonico,26
166,206,100,harmonico,27
158,200,101,harmonico,27
151,192,101,harmonico,27
114,2,140,harmonico,28
107,-8,149,harmonico,28
125,10,121,harmonico,28
125,249,198,harmonico,29
125,249,197,harmonico,29
112,247,195,harmonico,29
86,106,227,harmonico,30
83,105,234,harmonico,30
94,96,236,harmonico,30
187,191,215,harmonico,31
194,186,221,harmonico,31
197,210,226,harmonico,31
130,88,168,harmonico,32
127,86,172,harmonico,32
125,107,166,harmonico,32
180,76,112,harmonico,33
182,84,107,harmonico,33
171,71,128,harmonico,33
7,44,100,harmonico,34
13,35,91,harmonico,34
16,59,88,harmonico,34
12,113,83,harmonico,35
7,108,74,harmonico,35
-7,108,99,harmonico,35
70,154,221,harmonico,36
72,159,226,harmonico,36
65,150,231,harmonico,36
152,210,194,harmonico,37
151,209,185,harmonico,37
155,208,177,harmonico,37
47,67,105,harmonico,38
39,72,106,harmonico,38
61,67,104,harmonico,38
238,134,18,harmonico,39
235,135,22,harmonico,39
248,149,38,harmonico,39
145,225,6,harmonico,40
140,222,0,harmonico,40
147,240,-3,harmonico,40
0,223,21,harmonico,41
-1,229,29,harmonico,41
7,220,21,harmonico,41
7,87,155,harmonico,42
10,91,146,harmonico,42
-12,107,166,harmonico,42
26,13,189,harmonico,43
35,20,199,harmonico,43
36,-6,208,harmonico,43
203,8,186,harmonico,44
200,10,194,harmonico,44
185,24,194,harmonico,44
203,89,38,harmonico,45
197,93,43,harmonico,45
189,82,38,harmonico,45
221,126,129,harmonico,46
231,124,126,harmonico,46
224,142,142,harmonico,46
53,188,216,harmonico,47
45,196,214,harmonico,47
49,187,212,harmonico,47
148,242,36,harmonico,48
145,244,44,harmonico,48
149,236,29,harmonico,48
86,208,108,harmonico,49
88,210,109,harmonico,49
83,190,101,harmonico,49
44,188,38,harmonico,50
53,188,42,harmonico,50
35,170,51,harmonico,50
74,188,52,harmonico,51
77,182,48,harmonico,51
85,185,41,harmonico,51
206,38,217,harmonico,52
205,47,209,harmonico,52
205,24,199,harmonico,52
240,22,158,harmonico,53
247,21,158,harmonico,53
235,42,168,harmonico,53
164,0,121,harmonico,54
162,-4,111,harmonico,54
167,20,114,harmonico,54
94,184,213,harmonico,55
103,189,208,harmonico,55
109,189,217,harmonico,55
20,156,236,harmonico,56
13,152,244,harmonico,56
2,165,250,harmonico,56
227,232,189,harmonico,57
236,233,199,harmonico,57
228,234,203,harmonico,57
125,191,219,harmonico,58
121,196,215,harmonico,58
137,189,203,harmonico,58
36,181,42,harmonico,59
44,173,47,harmonico,59
49,190,62,harmonico,59
1,235,187,harmonico,60
3,229,188,harmonico,60
0,233,169,harmonico,60
227,114,146,harmonico,61
236,106,141,harmonico,61
232,128,146,harmonico,61
254,106,121,harmonico,62
255,99,129,harmonico,62
255,87,128,harmonico,62
63,163,180,harmonico,63
62,170,188,harmonico,63
78,175,176,harmonico,63
230,103,168,harmonico,64
231,112,169,harmonico,64
246,98,185,harmonico,64
112,108,111,harmonico,65
114,116,118,harmonico,65
106,124,130,harmonico,65
13,91,136,harmonico,66
8,97,133,harmonico,66
-3,93,142,harmonico,66
104,0,248,harmonico,67
113,3,255,harmonico,67
110,-4,255,harmonico,67
229,190,57,harmonico,68
236,195,67,harmonico,68
225,179,54,harmonico,68
88,140,27,harmonico,69
95,144,29,harmonico,69
106,150,32,harmonico,69
133,179,196,harmonico,70
132,182,191,harmonico,70
127,195,198,harmonico,70
236,213,50,harmonico,71
246,207,41,harmonico,71
221,212,60,harmonico,71
46,79,194,harmonico,72
42,89,187,harmonico,72
62,89,206,harmonico,72
118,97,254,harmonico,73
108,91,255,harmonico,73
138,105,245,harmonico,73
162,92,92,harmonico,74
152,82,97,harmonico,74
143,76,108,harmonico,74
79,160,11,harmonico,75
69,151,20,harmonico,75
77,172,-3,harmonico,75
198,226,85,harmonico,76
198,221,79,harmonico,76
201,238,84,harmonico,76
230,133,24,harmonico,77
237,129,26,harmonico,77
214,114,14,harmonico,77
239,177,52,harmonico,78
243,167,52,harmonico,78
228,168,58,harmonico,78
226,253,29,harmonico,79
220,245,23,harmonico,79
239,254,37,harmonico,79
28,156,119,harmonico,80
37,165,124,harmonico,80
10,173,126,harmonico,80
73,245,219,harmonico,81
65,245,224,harmonico,81
61,248,226,harmonico,81
222,254,211,harmonico,82
221,255,218,harmonico,82
206,247,219,harmonico,82
137,58,96,harmonico,83
131,56,98,harmonico,83
125,72,77,harmonico,83
61,106,209,harmonico,84
61,110,211,harmonico,84
44,118,216,harmonico,84
251,92,106,harmonico,85
255,83,114,harmonico,85
251,75,112,harmonico,85
12,120,247,harmonico,86
15,127,253,harmonico,86
19,111,253,harmonico,86
207,157,207,harmonico,87
206,147,203,harmonico,87
219,165,205,harmonico,87
232,170,131,harmonico,88
227,164,141,harmonico,88
237,173,116,harmonico,88
74,148,122,harmonico,89
69,143,128,harmonico,89
89,144,129,harmonico,89
113,72,197,harmonico,90
116,72,201,harmonico,90
105,63,214,harmonico,90
180,84,147,harmonico,91
180,76,151,harmonico,91
189,80,149,harmonico,91
91,182,60,harmonico,92
97,182,52,harmonico,92
100,165,46,harmonico,92
247,71,36,harmonico,93
254,72,44,harmonico,93
253,70,42,harmonico,93
6,188,68,harmonico,94
1,190,65,harmonico,94
23,179,52,harmonico,94
137,50,213,harmonico,95
142,52,219,harmonico,95
139,65,217,harmonico,95
76,206,73,harmonico,96
80,216,75,harmonico,96
58,211,76,harmonico,96
5,122,63,harmonico,97
7,125,60,harmonico,97
5,121,77,harmonico,97
23,42,142,harmonico,98
20,42,135,harmonico,98
28,60,156,harmonico,98
57,143,101,harmonico,99
54,153,99,harmonico,99
55,158,109,harmonico,99
134,14,48,harmonico,100
142,19,53,harmonico,100
128,22,45,harmonico,100
183,127,222,harmonico,101
188,121,228,harmonico,101
175,133,220,harmonico,101
7,147,173,harmonico,102
3,147,175,harmonico,102
6,166,187,harmonico,102
96,235,16,harmonico,103
97,225,16,harmonico,103
87,220,21,harmonico,103
139,103,74,harmonico,104
146,94,79,harmonico,104
141,84,94,harmonico,104
208,208,221,harmonico,105
205,200,222,harmonico,105
197,216,208,harmonico,105
41,252,149,harmonico,106
51,252,155,harmonico,106
48,255,129,harmonico,106
157,229,158,harmonico,107
158,227,152,harmonico,107
154,231,176,harmonico,107
228,143,188,harmonico,108
234,143,190,harmonico,108
220,129,171,harmonico,108
11,212,80,harmonico,109
1,203,84,harmonico,109
14,220,94,harmonico,109
84,65,109,harmonico,110
92,63,101,harmonico,110
88,49,128,harmonico,110
189,236,42,harmonico,111
197,226,36,harmonico,111
202,247,36,harmonico,111
190,28,90,harmonico,112
186,33,93,harmonico,112
191,23,102,harmonico,112
217,45,142,harmonico,113
211,48,134,harmonico,113
201,30,156,harmonico,113
75,201,142,harmonico,114
65,197,142,harmonico,114
87,185,141,harmonico,114
80,8,199,harmonico,115
81,7,196,harmonico,115
65,-3,195,harmonico,115
247,31,164,harmonico,116
241,30,171,harmonico,116
255,23,146,harmonico,116
107,204,102,harmonico,117
109,198,111,harmonico,117
121,220,109,harmonico,117
64,134,191,harmonico,118
72,140,192,harmonico,118
67,154,193,harmonico,118
142,178,48,harmonico,119
132,171,49,harmonico,119
148,161,33,harmonico,119
152,112,253,harmonico,120
143,120,252,harmonico,120
159,125,255,harmonico,120
207,2,139,harmonico,121
199,-7,137,harmonico,121
204,18,122,harmonico,121
34,89,102,harmonico,122
35,87,95,harmonico,122
30,81,117,harmonico,122
192,114,38,harmonico,123
195,123,46,harmonico,123
188,126,28,harmonico,123
225,80,142,harmonico,124
226,77,134,harmonico,124
208,71,162,harmonico,124
45,75,62,harmonico,125
55,79,71,harmonico,125
33,87,78,harmonico,125
205,96,214,harmonico,126
200,86,208,harmonico,126
209,87,219,harmonico,126
242,19,251,harmonico,127
241,24,243,harmonico,127
249,17,245,harmonico,127
1,26,169,harmonico,128
-7,31,168,harmonico,128
-16,29,151,harmonico,128
198,213,140,harmonico,129
201,217,149,harmonico,129
208,223,148,harmonico,129
5,102,125,harmonico,130
9,96,116,harmonico,130
23,84,119,harmonico,130
170,229,21,harmonico,131
163,231,31,harmonico,131
176,215,3,harmonico,131
122,60,1,harmonico,132
127,59,-4,harmonico,132
104,68,-3,harmonico,132
237,19,41,harmonico,133
237,25,33,harmonico,133
218,27,34,harmonico,133
22,190,52,harmonico,134
12,199,44,harmonico,134
42,187,69,harmonico,134
164,144,130,harmonico,135
155,151,129,harmonico,135
150,160,150,harmonico,135
17,175,64,harmonico,136
26,185,74,harmonico,136
11,187,63,harmonico,136
95,134,63,harmonico,137
86,138,57,harmonico,137
93,152,80,harmonico,137
24,1,120,harmonico,138
17,-1,124,harmonico,138
28,15,125,harmonico,138
170,122,21,harmonico,139
174,121,26,harmonico,139
170,128,34,harmonico,139
7,133,182,harmonico,140
11,133,184,harmonico,140
26,125,163,harmonico,140
107,74,88,harmonico,141
115,80,84,harmonico,141
113,79,93,harmonico,141
140,249,7,harmonico,142
131,251,1,harmonico,142
143,233,27,harmonico,142
170,170,207,harmonico,143
177,161,208,harmonico,143
179,179,201,harmonico,143
9,18,153,harmonico,144
16,17,143,harmonico,144
-6,32,154,harmonico,144
12,54,246,harmonico,145
20,58,241,harmonico,145
0,38,255,harmonico,145
205,41,194,harmonico,146
211,32,190,harmonico,146
197,24,208,harmonico,146
254,62,127,harmonico,147
255,53,120,harmonico,147
237,51,124,harmonico,147
255,50,35,harmonico,148
250,44,36,harmonico,148
255,52,46,harmonico,148
79,75,205,harmonico,149
77,73,204,harmonico,149
60,77,205,harmonico,149
179,103,224,harmonico,150
174,107,218,harmonico,150
166,123,232,harmonico,150
180,41,233,harmonico,151
184,37,239,harmonico,151
179,24,250,harmonico,151
201,115,104,harmonico,152
205,124,96,harmonico,152
186,114,123,harmonico,152
27,197,172,harmonico,153
26,205,176,harmonico,153
8,215,158,harmonico,153
90,65,103,harmonico,154
91,56,110,harmonico,154
104,77,103,harmonico,154
106,222,194,harmonico,155
115,218,195,harmonico,155
87,226,199,harmonico,155
170,64,93,harmonico,156
169,73,83,harmonico,156
163,70,88,harmonico,156
54,41,30,harmonico,157
46,48,31,harmonico,157
36,49,31,harmonico,157
170,233,227,harmonico,158
